text,label,group_id
سقط سلك كهرباء مكشوف على الطريق في جونيه منذ هذا الصباح.,urgent,Electricity_urgent_0
fi selek kahraba maf9ou3 wa2e3 3al tari2 bel Jounieh mnel sobo7,urgent,Electricity_urgent_0
An exposed power cable has fallen onto the road in Jounieh since this morning.,urgent,Electricity_urgent_0
Un câble électrique dénudé est tombé sur la route à Jounieh depuis ce matin.,urgent,Electricity_urgent_0
سقط سلك كهرباء مكشوف على الطريق في الحمرا منذ قليل.,urgent,Electricity_urgent_0
fi selek kahraba maf9ou3 wa2e3 3al tari2 bel Hamra men chwaye,urgent,Electricity_urgent_0
An exposed power cable has fallen onto the road in Hamra a short while ago.,urgent,Electricity_urgent_0
Un câble électrique dénudé est tombé sur la route à Hamra il y a peu.,urgent,Electricity_urgent_0
سقط سلك كهرباء مكشوف على الطريق في طرابلس منذ ساعتين.,urgent,Electricity_urgent_0
fi selek kahraba maf9ou3 wa2e3 3al tari2 bel Tripoli men sa3tein,urgent,Electricity_urgent_0
An exposed power cable has fallen onto the road in Tripoli for the past two hours.,urgent,Electricity_urgent_0
Un câble électrique dénudé est tombé sur la route à Tripoli depuis deux heures.,urgent,Electricity_urgent_0
سقط سلك كهرباء مكشوف على الطريق في زحلة منذ ساعتين.,urgent,Electricity_urgent_0
fi selek kahraba maf9ou3 wa2e3 3al tari2 bel Zahle men sa3tein,urgent,Electricity_urgent_0
An exposed power cable has fallen onto the road in Zahle for the past two hours.,urgent,Electricity_urgent_0
Un câble électrique dénudé est tombé sur la route à Zahle depuis deux heures.,urgent,Electricity_urgent_0
سقط سلك كهرباء مكشوف على الطريق في النبطية منذ هذا الصباح.,urgent,Electricity_urgent_0
fi selek kahraba maf9ou3 wa2e3 3al tari2 bel Nabatieh mnel sobo7,urgent,Electricity_urgent_0
An exposed power cable has fallen onto the road in Nabatieh since this morning.,urgent,Electricity_urgent_0
Un câble électrique dénudé est tombé sur la route à Nabatieh depuis ce matin.,urgent,Electricity_urgent_0
يوجد عطل في المحول الكهربائي ويتصاعد منه دخان في جونيه منذ قليل.,urgent,Electricity_urgent_1
fi transformer 3am ya3mel sada w tale3 menno da5khan bel Jounieh men chwaye,urgent,Electricity_urgent_1
A transformer is malfunctioning and giving off smoke in Jounieh a short while ago.,urgent,Electricity_urgent_1
Un transformateur est en panne et dégage de la fumée à Jounieh il y a peu.,urgent,Electricity_urgent_1
يوجد عطل في المحول الكهربائي ويتصاعد منه دخان في برج حمود منذ هذا الصباح.,urgent,Electricity_urgent_1
fi transformer 3am ya3mel sada w tale3 menno da5khan bel Bourj Hammoud mnel sobo7,urgent,Electricity_urgent_1
A transformer is malfunctioning and giving off smoke in Bourj Hammoud since this morning.,urgent,Electricity_urgent_1
Un transformateur est en panne et dégage de la fumée à Bourj Hammoud depuis ce matin.,urgent,Electricity_urgent_1
يوجد عطل في المحول الكهربائي ويتصاعد منه دخان في صيدا الآن.,urgent,Electricity_urgent_1
fi transformer 3am ya3mel sada w tale3 menno da5khan bel Saida hala2,urgent,Electricity_urgent_1
A transformer is malfunctioning and giving off smoke in Saida right now.,urgent,Electricity_urgent_1
Un transformateur est en panne et dégage de la fumée à Saïda en ce moment.,urgent,Electricity_urgent_1
يوجد عطل في المحول الكهربائي ويتصاعد منه دخان في الحمرا منذ هذا الصباح.,urgent,Electricity_urgent_1
fi transformer 3am ya3mel sada w tale3 menno da5khan bel Hamra mnel sobo7,urgent,Electricity_urgent_1
